movie_id,Genre
847,Music
847,Sci-Fi
848,Action
848,Adventure
848,Family
848,Horror
848,Sci-Fi
849,Action
849,Adventure
849,Sci-Fi
849,Thriller
850,Action
850,Family
850,Sci-Fi
850,Thriller
851,Action
851,Horror
851,Sci-Fi
852,Comedy
852,Drama
853,Action
853,Adventure
853,Fantasy
853,Sci-Fi
853,Thriller
854,Action
854,Horror
854,Sci-Fi
854,Thriller
855,Crime
855,Mystery
856,Drama
856,Romance
857,Drama
857,Music
857,Romance
858,Action
858,Horror
858,Sci-Fi
859,Action
859,Adventure
859,Family
859,Sci-Fi
860,Action
861,Action
862,Reality-TV
863,Drama
863,War
864,Crime
864,Drama
865,Drama
866,Action
866,Mystery
866,Thriller
867,Animation
867,Family
867,Fantasy
868,Action
868,Crime
868,Drama
868,Thriller
869,Crime
869,Drama
869,Thriller
870,Action
870,Drama
871,Drama
872,Horror
872,Mystery
872,Thriller
874,Drama
875,Drama
876,Adventure
877,Drama
877,Romance
878,Drama
879,Drama
880,Drama
880,War
881,Crime
881,Drama
881,Romance
882,Drama
882,History
883,Comedy
884,Comedy
884,Drama
884,War
886,Action
886,Comedy
887,Comedy
887,Drama
887,Romance
888,Family
889,Drama
889,Romance
891,Fantasy
891,Romance
894,Comedy
894,Drama
894,Family
894,Romance
895,Comedy
895,Drama
895,Thriller
896,Animation
896,Action
896,Fantasy
897,Drama
897,Sport
898,Drama
900,Drama
901,Drama
901,Romance
902,Drama
902,Romance
903,Horror
904,Comedy
905,Thriller
906,Drama
907,Drama
907,Romance
908,Comedy
909,Horror
909,Thriller
911,Comedy
911,Drama
911,Musical
912,Comedy
912,Musical
914,Animation
914,Comedy
914,Family
915,Comedy
915,Drama
916,Comedy
916,Romance
917,Drama
917,Romance
918,Animation
918,Comedy
918,Drama
918,Family
918,Romance
918,Sci-Fi
919,Action
919,Drama
919,Sport
920,Adventure
920,Fantasy
920,Horror
920,Mystery
920,Thriller
921,Drama
921,Music
921,Romance
922,Drama
923,Drama
924,Comedy
925,Comedy
926,Biography
926,Drama
927,Comedy
927,Romance
928,Adventure
928,Drama
928,Fantasy
928,Romance
928,Sci-Fi
929,Horror
930,Horror
931,Comedy
932,Action
932,Adventure
932,Thriller
933,Comedy
935,Thriller
936,Biography
936,Comedy
936,Crime
936,Drama
936,History
937,Crime
938,Drama
938,Romance
939,Adventure
939,Drama
939,Family
940,Crime
940,Drama
940,Western
941,Crime
941,Drama
942,Action
942,Comedy
942,Crime
942,Thriller
943,Adventure
943,Comedy
943,Drama
943,Fantasy
944,Horror
945,Crime
945,Drama
945,Mystery
946,Documentary
947,Comedy
947,Musical
948,Biography
948,Drama
949,Crime
949,Drama
950,Action
950,Crime
950,Drama
950,Thriller
951,Action
951,Comedy
951,Horror
951,Thriller
952,Comedy
953,Comedy
953,Drama
953,Romance
954,Drama
955,Action
955,Crime
955,Drama
955,Thriller
956,Adventure
956,Crime
956,Drama
957,Horror
957,Thriller
958,Action
958,Fantasy
958,Horror
958,Mystery
959,Drama
959,History
959,War
960,Comedy
962,Crime
962,Drama
962,Thriller
963,Adventure
963,Horror
963,Sci-Fi
963,Thriller
964,Action
964,Drama
964,Thriller
965,Biography
965,Crime
965,Drama
965,Western
966,Biography
966,Crime
966,Drama
967,Action
967,Drama
967,Thriller
968,Crime
